Professor Name,Affiliation,Paper Counts,Author URL
Haozhen Situ,Unknown Affiliation,AAAI(24): 1,https://dblp.org/pid/157/8275
Hong Zhang,"Central South University, School of Business, Changsha, China",AAAI(24): 1,https://dblp.org/pid/29/2726-1
Dinesh Kumar Vishwakarma,Unknown Affiliation,AAAI(24): 1,https://dblp.org/pid/214/0803
Mukesh Prasad,"University of Technology Sydney, Faculty of Engineering and Information Technology, Australia",AAAI(24): 1,https://dblp.org/pid/116/4606
Junwei Zhang,"Xidian University, School of Cyber Engineering and Shaanxi Key Laboratory of Network and System Security, Xian, China",AAAI(24): 1,https://dblp.org/pid/09/4697
Xin Wang,"Shaanxi Normal University, School of Physics and Information Technology, Xi'an, China",AAAI(24): 1,https://dblp.org/pid/81/3525
Anupam Chattopadhyay,"Nanyang Technological University, Singapore",ICCAD(20): 1; ICCAD(23): 1,https://dblp.org/pid/99/4535
Debapriya Basu Roy,Unknown Affiliation,ICCAD(20): 1,https://dblp.org/pid/116/4686
Tim Fritzmann,Unknown Affiliation,ICCAD(20): 1,https://dblp.org/pid/216/6673
Georg Sigl,"Technical University Munich, Germany",ICCAD(20): 1,https://dblp.org/pid/89/4621
Zhepeng Wang 0001,"George Mason University, Fairfax, VA, USA",ICCAD(21): 2; ICCAD(22): 1,https://dblp.org/pid/242/8456-1
Junhuan Yang,Unknown Affiliation,ICCAD(21): 1,https://dblp.org/pid/206/2409
Lei Yang 0018,"George Mason University, Department of Information Sciences and Technology, USA",ICCAD(21): 1,https://dblp.org/pid/50/2484-18
Shanglin Zhou,Unknown Affiliation,ICCAD(21): 1,https://dblp.org/pid/141/3378
Caiwen Ding,Unknown Affiliation,ICCAD(21): 1,https://dblp.org/pid/175/2489
Rasit Onur Topaloglu,IBM,ICCAD(21): 2; ICCAD(22): 1,https://dblp.org/pid/75/6468
Ilia Polian,"Stuttgart University, Germany",ICCAD(21): 1,https://dblp.org/pid/94/4552
Yi-Chen Chang,Unknown Affiliation,ICCAD(21): 1,https://dblp.org/pid/82/690
Ming-Jer Tsai,Unknown Affiliation,ICCAD(21): 1,https://dblp.org/pid/01/6021
Shaohan Hu,"JPMorgan Chase Bank, New York, NY, USA",ICCAD(21): 1,https://dblp.org/pid/33/8173
Wai-Kei Mak,Unknown Affiliation,ICCAD(21): 1,https://dblp.org/pid/86/5539
Kathleen E. Hamilton,Unknown Affiliation,ICCAD(22): 1,https://dblp.org/pid/198/5721
Yu Zhang 0086,"University of Science and Technology of China, Lab for Intelligent Networking and Knowledge Engineering, Hefei,China",ICCAD(22): 1,https://dblp.org/pid/50/671-86
Zhen Wang,Unknown Affiliation,ICCAD(22): 1,https://dblp.org/pid/62/2613
Jun Li 0001,"Liaocheng University, School of Computer Science, China",ICCAD(22): 1,https://dblp.org/pid/04/7673-1
Xiangyang Li 0001,"University of Science and Technology of China, School of Computer Science and Technology, Hefei, China",ICCAD(22): 1,https://dblp.org/pid/l/XiangYangLi
Peiyan Dong,Unknown Affiliation,ICCAD(22): 1,https://dblp.org/pid/254/1329
Shao-Yun Fang,Unknown Affiliation,ICCAD(22): 1,https://dblp.org/pid/53/8857
Francesco Regazzoni 0001,"University of Amsterdam, Amsterdam, The Netherlands",ICCAD(23): 1,https://dblp.org/pid/31/1489-1
Naina Gupta 0001,"Fraunhofer Singapore, Singapore",ICCAD(23): 1,https://dblp.org/pid/83/7953-1
Arpan Jati,Unknown Affiliation,ICCAD(23): 1,https://dblp.org/pid/157/0154
Jaco van de Pol,"Aarhus University, Department of Computer Science, Aarhus, Denmark",ICCAD(23): 1,https://dblp.org/pid/p/JvdPol
Ying Wang 0001,"Fuzhou University, School of Economics and Management, China",ICCAD(23): 1,https://dblp.org/pid/59/605-1
Bing Li 0017,"Duke University, Durham, NC, USA",ICCAD(23): 1,https://dblp.org/pid/13/2692-17
Yinhe Han 0001,"Chinese Academy of Sciences, Institute of Computing Technology, Research Center for Intelligent Computing Systems, Beijing, China",ICCAD(23): 1,https://dblp.org/pid/32/2695-1
